Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,55,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,144,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,214,0,0,0,0,0,0,0
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,55,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,142,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,212,0,0,0,0,0,0,0
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,55,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,142,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,212,0,0,0,0,0,0,0
10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58,10/04/2023 12:40:58
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,53,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,141,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,209,0,0,0,0,0,0,0
10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58,10/04/2023 12:42:58
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,53,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,141,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,209,0,0,0,0,0,0,0
10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59,10/04/2023 12:44:59
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,53,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,141,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,209,0,0,0,0,0,0,0
10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59,10/04/2023 12:46:59
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,3.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,53,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,141,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,8,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,209,0,0,0,0,0,0,0
10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59,10/04/2023 12:48:59
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0
View,548 West 113,0,0,0,0,0,0,0,0,0,0,0
View,600 West 113,0,0,0,3.5,0,0,0,0,0,0,0
View,627 West 115,0,0,0,0,0,0,0,0,0,0,0
View,Broadway,0,0,0,2.5,0,0,0,0,0,0,0
View,Carlton,0,0,0,53,0,0,0,0,0,0,0
View,East Campus,0,0,0,0,0,0,0,0,0,0,0
View,Harmony,0,0,0,0,0,0,0,0,0,0,0
View,Hartley,0,0,0,0,0,0,0,0,0,0,0
View,Hogan,0,0,0,0,0,0,0,0,0,0,0
View,McBain,0,0,0,141,0,0,0,0,0,0,0
,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0
View,River,0,0,0,0,0,0,0,0,0,0,0
View,Ruggles,0,0,0,0,0,0,0,0,0,0,0
View,Schapiro,0,0,0,6.5,0,0,0,0,0,0,0
View,Watt,0,0,0,0,0,0,0,0,0,0,0
View,Wien,0,0,0,0,0,0,0,0,0,0,0
View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0
,Totals: 18,0,0,0,206.5,0,0,0,0,0,0,0
10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00,10/04/2023 12:51:00
Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8
